id ,image,caption
11,https://drive.google.com/file/d/1pL9o2gvMVLoliwCgwEOkAmbnMUMu3QEu/view?usp=drive_link,"Sea surface temperature anomalies (SSTAs) during boreal winter 2022/23. The tropical Pacific shows negative SSTAs (−1.0°C to −0.2°C), reflecting La Niña conditions. Negative SSTAs are also observed in the South Pacific and Southern Ocean, while the North Pacific and Atlantic exhibit positive anomalies."
12,https://drive.google.com/file/d/1EZMwTjDbIiwvbQPVqR8zSpJfncC0z8kM/view?usp=drive_link,"SSTAs for boreal spring 2023 show the emergence of strong coastal El Niño conditions off South America with SSTAs exceeding +1.0°C to +2.0°C. These warming events signal a transition from La Niña to El Niño. The North Pacific remains largely warm, with some coastal cooling."
13,https://drive.google.com/file/d/1-pAsQmtvwK3RjEB4M_fWabiSW4wBWN_U/view?usp=drive_link,"In boreal summer, El Niño conditions become established, with positive SSTAs expanding westward in the tropical Pacific. SSTAs > +1.0°C dominate much of the basin. The North Atlantic also shows extensive warming, contributing to record-breaking SSTs during this period."
14,https://drive.google.com/file/d/1qhxcdPQ9k8HzQWw3Pav-LP9Gy6lK4_vW/view?usp=drive_link,"In boreal summer, El Niño conditions become established, with positive SSTAs By boreal autumn, El Niño has strengthened further, with widespread SSTAs > +1.0°C across the equatorial Pacific. The North Atlantic continues to experience strong warming, and the Indian Ocean shows a strong positive Indian Ocean Dipole (IOD) signature with zonal SSTA contrast. westward in the tropical Pacific. SSTAs > +1.0°C dominate much of the basin. The North Atlantic also shows extensive warming, contributing to record-breaking SSTs during this period."
15,https://drive.google.com/file/d/1L_xpnM8-v62ZoWwtgT6O3op6YE4dakAg/view?usp=drive_link,"Seasonal mean sea-surface temperature anomalies (SSTAs) of ERSSTv5 (°C; shading) for (a) Dec 2022–Feb 2023, (b) Mar–May 2023, (c) Jun–Aug 2023, and (d) Sep–Nov 2023. The normalized seasonal mean SSTAs based on the seasonal mean standard deviations (SDs) over 1991–2020 are indicated by contours of −2 (dashed white), −1 (dashed black), 1 (solid black), and 2 (solid white)."
16,https://drive.google.com/file/d/12dAm_sfQzaM241tKedTeDGlvCWMyYPdW/view?usp=drive_link,"Mean SSTs during (a) DJF 2022/23, (c) MAM 2023, (e) JJA 2023, and (g) SON 2023. The progression illustrates the seasonal warming of the tropical Pacific associated with the transition from a weak La Niña in DJF to a strong El Niño by SON. The black contours highlight the 30°C isotherm, showing expansion and westward shift of the warm pool. Warm SSTs exceeding 30°C expanded throughout the year, particularly evident in JJA and SON. This warming is consistent with the evolving El Niño and the development of a positive Indian Ocean Dipole (IOD) during SON."
17,https://drive.google.com/file/d/182JuEdHYGGYF8ISRIy7QIm33QgqCmine/view?usp=drive_link,"Mean SSTs during (a) DJF 2022/23, (c) MAM 2023, (e) JJA 2023, and (g) SON 2023. Seasonal mean sea surface temperatures (left) and anomalies (right) for DJF 2022/23 through SON 2023. DJF shows weak La Niña conditions with cooler central Pacific SSTs. A coastal El Niño emerges in MAM, expanding westward by JJA. By SON, a strong El Niño is evident with widespread warming across the equatorial Pacific. A positive Indian Ocean Dipole also develops in SON, with warm SSTs in the west and cool SSTs in the east. Black contours mark the 30°C isotherm in the left panels. progression illustrates the seasonal warming of the tropical Pacific associated with the transition from a weak La Niña in DJF to a strong El Niño by SON. The black contours highlight the 30°C isotherm, showing expansion and westward shift of the warm pool. Warm SSTs exceeding 30°C expanded throughout the year, particularly evident in JJA and SON. This warming is consistent with the evolving El Niño and the development of a positive Indian Ocean Dipole (IOD) during SON."
18,https://drive.google.com/file/d/19fDwhrQDLOGIELoiHCzxaQs9agipOPvC/view?usp=drive_link,"Subsurface temperature anomalies show a weakening La Niña, with slightly cooler-than-average temperatures in the eastern Pacific and warm anomalies in the west. The thermocline slope was slightly steeper than average, with a deeper-than-normal thermocline in the west."
19,https://drive.google.com/file/d/1pjJC84JhljNqVHjdwBXbb1LLpp_a2Vg7/view?usp=drive_link,"During the La Niña–El Niño transition, warm anomalies spread eastward and the thermocline deepened across the entire equatorial Pacific, indicating the early stages of El Niño development."
20,https://drive.google.com/file/d/18Heavn4q4DWnVCv2MGS9bAT74Yvbr51T/view?usp=drive_link,"As El Niño strengthened, the thermocline slope flattened. Warm subsurface anomalies expanded eastward, and the thermocline in the western Pacific returned to near-average depths."
21,https://drive.google.com/file/d/1-XbyvcjR7pu5u37u6tBlxLJJIM8fZYmh/view?usp=drive_link,"Strong El Niño conditions persisted. The thermocline deepened in the central and eastern Pacific, with widespread warm anomalies and a much shallower thermocline slope across the basin."
22,https://drive.google.com/file/d/1gOYOopfWvb_3_l81N-wGTycNH7TILFOI/view?usp=drive_link,"Time–longitude section for 2023 of the anomalous equatorial Pacific Ocean heat content, calculated as the mean temperature anomaly (°C) between 0-m and 300-m depth. Yellow/red (blue) shading indicates above- (below-) average heat content. Anomalies are departures from the 1991–2020 base period pentad means. Data in (b) are derived from an analysis system that assimilates oceanic observations into an oceanic general circulation model (Behringer et al. 1998)."
23,https://drive.google.com/file/d/1-MvnTD6bKDHpby121RLwtbIHQog_JHBc/view?usp=drive_link,Atlantic Intertropical Convergence Zone (ITCZ) position inferred from outgoing longwave radiation (Liebmann and Smith 1996) during Mar 2023. The colored thin lines indicate the approximate position for the six pentads of the month. The thick black line indicates the Atlantic ITCZ climatological position for Mar. The sea-surface temperature (SST) anomalies (°C) for Mar 2023 calculated with respect to the 1982–2020 climatology are shaded. The two boxes indicate the areas used for the calculation of the Atlantic index in panel
24,https://drive.google.com/file/d/1P_CTGGsXox4p-OD5mnSxPkR4uzTXq50O/view?usp=drive_link,"Sea surface temperature (SST) anomalies during August–October (ASO) 2023 in the Atlantic Main Development Region (MDR). SSTs were exceptionally warm across the MDR, with area-averaged anomalies reaching +1.16 °C—setting a new record since at least 1950 by more than 0.5 °C. SST anomalies within the MDR ranged from +0.5 °C to over +1.5 °C, consistent with the warm phase of the Atlantic Multidecadal Oscillation and indicative of an Atlantic high-activity era."
25,https://drive.google.com/file/d/1reXb9jf_RoKI8D0XFkneOffuv_Mq5Jpx/view?usp=drive_link,"Sea-surface temperature (SST) anomalies (°C) and the tracks of all 2023 storms (including tropical depressions [TDs], tropical storms [TSs], and typhoon-strength storms [Cat]), with colors denoting their intensity."
26,https://drive.google.com/file/d/1qb6cEoRzrRSCK1gBm6TSUT0uxaLZBUGJ/view?usp=drive_link,"Conditions were particularly favorable during the pre-monsoon period (May–June) when two of the major cyclones occurred. Sea-surface temperatures were unusually warm across the basin, with large anomalies in the Arabian Sea. "
27,https://drive.google.com/file/d/1W2f4bsCuiUOL7CQ42Ox18fqFXZ2jVELN/view?usp=drive_link,"Tracks of tropical cyclones Darian, Cheneso, Freddy, and Fabien during the 2022/23 South Indian Ocean season, overlaid on sea surface temperature anomalies (°C). Track colors indicate cyclone intensity by SSHWS category."
28,https://drive.google.com/file/d/1FBUybAqC6tw8vkWo6TNSMX4I7t0xwYht/view?usp=drive_link,"Global anomalies of tropical cyclone heat potential (TCHP) in 2023 (kJ cm⁻²), with green lines showing tracks of Category 1+ cyclones during the main TC seasons (Nov–Apr in the Southern Hemisphere, Jun–Nov in the Northern Hemisphere) and purple lines showing off-season storms. Boxes outline seven key TC basins, with storm counts labeled; Gulf of Mexico shown in inset."
29,https://drive.google.com/file/d/1aMqF3XT1aRnl81ospdgaquIwyYG81eol/view?usp=drive_link,"Vertical profile of daily 40°N–80°N eddy heat flux anomalies (std. dev.; shading) and 60°N zonal-mean zonal winds (m s−1; gray contours, with the zero-wind line in black) for 30 days before to 30 days after the 16 February 2023 sudden stratospheric warming (SSW). ("
30,https://drive.google.com/file/d/1NdKS3gAEBLDMtKZCA4xjAXOwI-ctCsFi/view?usp=drive_link,"Average 2-m temperature anomalies (°C, shading) and mean sea-level pressure anomalies (hPa, contours) for the 15 days prior to the SSW (1–15 February) and (c) during a period of stratosphere–troposphere coupling following the SSW (1–15 March). Data are from the ERA5 reanalysis (Hersbach et al. 2023a,b) and all anomalies are shown with respect to a 30-day centered smoothed 1991–2020 climatology. profile of daily 40°N–80°N eddy heat flux anomalies (std. dev.; shading) and 60°N zonal-mean zonal winds (m s−1; gray contours, with the zero-wind line in black) for 30 days before to 30 days after the 16 February 2023 sudden stratospheric warming (SSW). ("
31,https://drive.google.com/file/d/1BdcSINcEeLSNz1Z3sVFpc2vY5BKVE4dV/view?usp=drive_link,Warm anomalies over northern Canada and the North Atlantic; cooler conditions over Alaska and eastern Siberia.
32,https://drive.google.com/file/d/1BlUFQzz42pqy6GJ1o1DhReJ-PSIpWcMQ/view?usp=drive_link,"Record warmth across the Arctic, especially northern Canada, Greenland, and the Barents–Kara Sea region."
33,https://drive.google.com/file/d/1OD17dc-B1iUHX47HmqzVl3aP7O70aPlx/view?usp=drive_link,"Widespread Arctic warming continues, with some cooling over eastern Europe and western Russia."
34,https://drive.google.com/file/d/1Mg4IvZiVmSs_LkOkr7OlzjTmBDc6LfCU/view?usp=drive_link,Mean sea-surface temperature (SST; °C) in Aug 2023. Black contours indicate the 10°C-SST isotherm.
35,https://drive.google.com/file/d/106xGavgZk3PvuNv0UTlTwI1c0eXnh2OW/view?usp=drive_link,Anomalies show where sea-surface temperatures in August 2023 were warmer (red shades) or cooler (blue shades) compared to the 1991–2020 climatological average. The black line indicates the median ice edge for August 1991–2020.
36,https://drive.google.com/file/d/1IDSQiFXffwaUe4k1LSakEJ7FY2pk7MtK/view?usp=drive_link,Differences highlight areas where SSTs in August 2023 were either warmer or cooler than those in August 2022. White shading shows August 2023 sea-ice extent; the black line indicates the 1991–2020 median ice edge.
37,https://drive.google.com/file/d/1pTuF3a-SI5cG5vaSO_DNcZIeJt2QNPUh/view?usp=drive_link,"Sea-surface temperature (SST) anomalies (°C) for June 2023, relative to the 1991–2020 June mean. White shading indicates mean sea-ice concentration for June 2023. Much of the Arctic marginal seas still had significant ice cover in June, making SST trend evaluation less appropriate for this month."
38,https://drive.google.com/file/d/17gLPcgippHk2Eya39tUHq8bkxeaGOj15/view?usp=drive_link,"Sea-surface temperature (SST) anomalies (°C) for July 2023, relative to the 1991–2020 July mean. White shading indicates mean sea-ice concentration for July 2023. Early retreat of sea ice, especially in the Beaufort Sea, corresponds to warmer SSTs via the ice–albedo feedback."
39,https://drive.google.com/file/d/1MKQFSYgSsiazNeAiPakks5MhjkXwBjYr/view?usp=drive_link,"Sea-surface temperature (SST) anomalies (°C) for August 2023, relative to the 1991–2020 August mean. White shading indicates mean sea-ice concentration for August 2023. SST anomalies were highest in the Barents, Kara, Laptev, and Beaufort Seas (~5–7°C above average), and lower in Baffin Bay and parts of the Chukchi and Bering Seas."
40,https://drive.google.com/file/d/1PUXyX_3GaJANrr2i66ax_mWzug1mEK0S/view?usp=drive_link,"Sea-surface temperature (SST) anomalies (°C) for September 2023, relative to the 1991–2020 September mean. White shading shows mean sea-ice concentration for September 2023. Warm anomalies in marginal seas persisted into September, though reduced, as surface cooling began in the latter half of the month."
41,https://drive.google.com/file/d/1333GkvPjXiW4QIIzqR2-NBLUcTdH0ruJ/view?usp=drive_link,"Linear sea-surface temperature (SST) trend (°C yr−1) for Aug of each year from 1982 to 2023. The trend is only shown for values that are statistically significant at the 95% confidence interval; the region is shaded light gray otherwise. White shading is the August 2023 mean sea-ice extent, and the black line indicates the August 1991–2020 median ice edge. ("
42,https://drive.google.com/file/d/1JOI3HbEeC5zk1mkk3MLLst38xjUOIveK/view?usp=drive_link,Locations of the permafrost temperature monitoring sites superimposed on average surface air temperature trends (°C decade−1) during 1981–2023 from ERA5 reanalysis
43,https://drive.google.com/file/d/1BakpNzHkGKhkxA9248k95Iojzs42lNMd/view?usp=drive_link,Polar-cap averaged temperature anomalies (°C; contour interval is 0.5°C up to ±2°C and 2°C after ±2°C);
44,https://drive.google.com/file/d/1rOufD1huIlFmjsyFKUlYjGBp14_2Ckh0/view?usp=drive_link,Annual average temperature anomalies (°C; 1991–2020 base period) in Canada for the period 1948–2023. The black line represents an 11-year running mean.
45,https://drive.google.com/file/d/1ajjYFWmbGB7r32PjctvIYB5KamEqDNFi/view?usp=drive_link,"Annual average temperature anomalies (°C) in Canada for 2023, relative to the 1991–2020 climate normal. Warm anomalies >2.5°C occurred in much of the Northwest Territories and western Nunavut."
46,https://drive.google.com/file/d/1zuaP6H6311ft_YWZ5Szxg8hWoe1iEPJO/view?usp=drive_link,"Annual average temperature anomalies (°C) for the contiguous United States (CONUS) in 2023, relative to the 1991–2020 climatological average. Most regions were warmer than normal, with cooler anomalies in parts of the western U.S."
47,https://drive.google.com/file/d/1yCm-wDyBsSedNNT8id8HeKnT5sAcQGi_/view?usp=drive_link,Annual average temperature anomalies (°C; 1991–2020 base period) in Canada for the period 1948–2023. The black line represents an 11-year running mean.
48,https://drive.google.com/file/d/1eLjxUBGrHiKdW-JQZ5Rpe8pk7X82Dh-2/view?usp=drive_link,"Annual average temperature anomalies (°C) across Mexico in 2023, relative to the 1991–2020 base period. Widespread warming was observed, with central and northern regions showing anomalies above +2°C."
49,https://drive.google.com/file/d/1T3cE4Kq0bObbB48uturlYj60sj7wdE3m/view?usp=drive_link,"Annually averaged 2-m air temperature anomalies (°C) over the Caribbean for 2023, relative to the 1991–2020 average. Widespread warming was observed across the region, making 2023 the warmest year on record since 1950."
50,https://drive.google.com/file/d/1oyTNrVEpuy9xzAQcezVePH8BmlNb4Atf/view?usp=drive_link,"Annual 2023 temperature anomalies (°C) across South America for (a) maximum, (b) minimum, and (c) mean 2-m air temperatures, relative to the 1991–2020 average. Northern South America experienced widespread maximum temperature anomalies >+1°C, particularly in Venezuela, Suriname, Colombia, and Ecuador. Minimum temperatures showed more spatial variability, with below-normal values in Bolivia and Venezuela."
51,https://drive.google.com/file/d/1gl-flA8coQd3fKe-7c32GlYbcnGkiwG9/view?usp=drive_link,"Annual mean surface air temperature anomalies (°C) across Africa for 2023, relative to the 1991–2020 average. Widespread above-average temperatures were observed across most of Africa, with anomalies exceeding +1.2°C in northwest and southwest regions."
52,https://drive.google.com/file/d/1o80beaLdReV65Y6IGqqSHqw31euGs-KQ/view?usp=drive_link,"Surface air temperature anomalies (°C) for winter (DJF 2022–2023) over North Africa. Anomalies >+2°C were observed in eastern Mauritania and parts of Mali, while Libya and parts of Egypt showed near or below-average temperatures."
53,https://drive.google.com/file/d/18QoLpRujBiQ7aKIsJ1uEPQz8FYuX_lmi/view?usp=drive_link,"Temperature anomalies (°C) for spring (MAM 2023) over North Africa. Strong warming (>+2°C) occurred across Morocco, western Algeria, and northern Mauritania, while Libya and southwestern Egypt remained near or below average."
54,https://drive.google.com/file/d/1b_GXpn26NbYF5E-Q8Od5sZ6QieYx1hNn/view?usp=drive_link,"Summer (JJA 2023) temperature anomalies (°C) over North Africa. Extreme heat >+2°C was widespread across Morocco, northern Algeria, Tunisia, Mauritania, and parts of Egypt. Some stations reported record-breaking highs."
55,https://drive.google.com/file/d/13ZCKxCNnXW5g1Nn1dCPDgYPmDyzG0kjw/view?usp=drive_link,"Autumn (SON 2023) temperature anomalies (°C) over North Africa. Anomalies >+2°C dominated much of the region, especially in Morocco, Algeria, and Tunisia. Libya experienced more moderate warming (+0.5°C to +1.5°C)."
56,https://drive.google.com/file/d/1xMNt3hYeCd6f_nSbsv7s8E8TO7AEdNqA/view?usp=drive_link,"Annual mean temperature (°C) across West Africa in 2023. Most of the region recorded temperatures between 24°C–30°C, with the highest values across central Nigeria and coastal areas of the Gulf of Guinea."
57,https://drive.google.com/file/d/1AMOspdE8D3CfhVAuuFHMxVEw2ffpOSu6/view?usp=drive_link,"Temperature percentile rank across West Africa in 2023. Most areas experienced temperatures in the 90th–99th percentile range, indicating near-record warmth across the region."
58,https://drive.google.com/file/d/1qI7_QA61DqS-YzSTH-sslXawbf8aEIdW/view?usp=drive_link,"Annual maximum temperature anomalies (°C) over Central Africa in 2023. Anomalies of +2°C to +5.5°C were observed, especially over southern DRC and surrounding regions."
59,https://drive.google.com/file/d/1cDp2lCTREMQKFbCnD7GfcZYJRp0Q57aJ/view?usp=drive_link,"Annual minimum temperature anomalies (°C) over Central Africa in 2023. Anomalies ranged from −1.5°C to +2°C, with cooler-than-average temperatures in parts of southeastern DRC and surrounding areas."
60,https://drive.google.com/file/d/1s81KbGTjFdHMotMiZhFLoqKdluQfhWNp/view?usp=drive_link,"Annual mean temperature (°C) across East Africa in 2023. Highest temperatures (30°C+) were recorded in Sudan and coastal areas, while highlands of Ethiopia remained cooler (<22°C)."
61,https://drive.google.com/file/d/1sm2-0zB16NK-FxwDt2EXD4gZ2m_8HKIc/view?usp=drive_link,"Annual mean temperature anomalies (°C) across East Africa in 2023. Anomalies were generally +0.5°C to +1.5°C, with the highest over Sudan and Afar regions of Ethiopia."
62,https://drive.google.com/file/d/1Zv0wXn1CFuh4d38kD5LtaZAdGcwll9HR/view?usp=drive_link,"Annual mean temperature anomalies (°C) in Southern Africa in 2023. Warm anomalies (+1.5°C to +2°C) were strongest over west-central Botswana, while below-average temperatures were observed in western Namibia."
63,https://drive.google.com/file/d/10hU5qAZHWlLSP0pYgePCGxPhs8vO6CPI/view?usp=drive_link,"Mean annual temperature anomalies (°C, squares), annual rainfall ratio to normal (%, circles), and their respective deciles for the western Indian Ocean island countries in 2023 "
64,https://drive.google.com/file/d/1hGHF8KmWG_SE5yt57-PaZiG7mPL98URZ/view?usp=drive_link,"(a) Annual mean temperature (°C) and (b) annual mean temperature anomalies (°C) in Madagascar for 2023, relative to the 1991–2020 average. Temperatures ranged from 20°C to 26°C, with warm anomalies of +0.5°C to +1°C observed across the northern and central parts of the country."
65,https://drive.google.com/file/d/11Lj-q-mrJNEKE1rMGlw7ojnUwuxe23n7/view?usp=drive_link,"Seasonal anomalies (1991–2020 base period) of 500-hPa geopotential height (contour; m) and surface temperature (shading; °C) using data from the NCEP/NCAR reanalysis and Deutscher Wetterdienst (DWD), respectively, for (a) Dec–Feb (DJF) 2022/23, (b) Mar–May (MAM) 2023, (c) Jun–Aug (JJA) 2023, and (d) Sep–Nov (SON) 2023."
66,https://drive.google.com/file/d/1v_Tyn5QzMGEf5hgt5l0g7EN4o9yPpSMT/view?usp=drive_link,"Annual mean surface temperature anomalies (°C) over Asia in 2023, relative to the 1991–2020 base period. Widespread warming was observed, with anomalies exceeding +2°C across Central Asia and Siberia."
67,https://drive.google.com/file/d/1tP8fljhH2t7ITtR2hxrEoaY2oRxnkWg9/view?usp=drive_link,Annual mean surface air temperature (°C) for Central Asia in 2023. Temperatures ranged from below 0°C in high-elevation eastern Tajikistan and Kyrgyzstan to 25°C in southern Afghanistan.
68,https://drive.google.com/file/d/1kPajNWvC7eYJfO-RGekO_5boVoLTNM6P/view?usp=drive_link,"Annual mean temperature anomalies (°C) for Central Asia in 2023, relative to the 1991–2020 baseline. Anomalies reached +2.5°C to +3.0°C in western Kazakhstan and northwestern Uzbekistan, while cooler anomalies (−2.0°C to −0.5°C) were recorded in parts of eastern Kazakhstan, Kyrgyzstan, and northeastern Afghanistan."
69,https://drive.google.com/file/d/1Mu3LURAstnHJENZvxnnPabm_t4UDc9kL/view?usp=drive_link,"Winter (December 2022 – February 2023) mean 2-m temperature anomalies (°C) across the Middle East and Central Asia. Temperatures were near or slightly below normal across much of Iran and Central Asia, with above-normal anomalies in southern Iran and parts of the western Middle East."
70,https://drive.google.com/file/d/1Su2YSX-8EdbzLXwSk48S1G5O9zDsc5Tn/view?usp=drive_link,"Spring (March–May 2023) temperature anomalies (°C). Significant warming observed from northern Iran through Central Asia, with anomalies reaching +2°C to +4°C in parts of Kazakhstan and Uzbekistan."
71,https://drive.google.com/file/d/1HVo605R7fbOKqqSw7tE5LM57GMIekWLR/view?usp=drive_link,"Summer (June–August 2023) temperature anomalies (°C). Above-normal temperatures were widespread, though less intense than spring and autumn. Iran experienced notable heat, especially in southern and central regions."
72,https://drive.google.com/file/d/1eeC7QF1KLrfxlNRlF3hR_rsDUZ38TUva/view?usp=drive_link,"Autumn (September–November 2023) temperature anomalies (°C). Marked warming across most of the region, including Iran, with anomalies between +0.5°C and +4.5°C. November 2023 was the warmest on record in Iran in 70 years."
73,https://drive.google.com/file/d/1lMOafTMYjMar6WRFueI20DevJD8PlqVx/view?usp=drive_link,"Mean air temperature anomalies (°C) for January 2023 in Russia, relative to the 1991–2020 average. A strong cold anomaly (−8°C to −10°C) dominated northern Eastern Siberia and western Yakutia, with extreme cold events dropping temperatures below −60°C in some locations. Widespread below-average temperatures were observed across most of Asian Russia east of 110°E"
74,https://drive.google.com/file/d/1kVMUFnFl4YeYwTHQw6pDjd4Ucu3OFRCC/view?usp=drive_link,"Air temperature anomalies (°C) during January–March 2023. Slightly below-normal temperatures prevailed along the equator east of the dateline due to fading La Niña conditions, while slightly above-normal temperatures were observed across Palau, western FSM, Guam, and CNMI."
75,https://drive.google.com/file/d/13BeP7O2URQaJdSqt1aXWeoqMp3bWm9au/view?usp=drive_link,"Air temperature anomalies (°C) during April–June 2023. Above-normal temperatures expanded across the region, with warming increasing toward the southeast, indicating the early effects of El Niño development"
76,https://drive.google.com/file/d/1f41MUIIygj2-gKPRUG_e69CxujkSeB4i/view?usp=drive_link,"Air temperature anomalies (°C) during July–September 2023. A warming trend continued across Micronesia, with moderate positive anomalies in far western and southeastern parts of the region, especially near the Marshall Islands."
77,https://drive.google.com/file/d/12cMNPVimG4eMfQhtZuVhQjGsxMt8ggvL/view?usp=drive_link,"Air temperature anomalies (°C) during October–December 2023. Persistent above-normal temperatures were observed, particularly southeast of the Marshall Islands, driven by strengthening El Niño conditions."
78,https://drive.google.com/file/d/1PJPZDyvVJ5AtIZ5YznPhunyqXuosR5mb/view?usp=drive_link,"Sea Surface Temperature (SST) rankings for January–June 2023. Record-high SSTs (rank 1) were recorded west of Palau, extending northeastward toward Yap and south of Guam, consistent with early-year warming patterns."
79,https://drive.google.com/file/d/1kVVHXq7PAPeRruRYwDhMjOl8v1BFIXam/view?usp=drive_link,"SST rankings for July–December 2023. Record-warm SSTs in the Niño-4 region expanded northward, with high rankings (1st–3rd warmest) near the Marshall Islands. This reflects the full onset of El Niño during the second half of the year."
80,https://drive.google.com/file/d/1WjzNt1ZyEoFeop2eXTGoVDsJvKdYqeCS/view?usp=drive_link,"Map shows surface air temperature anomalies across the South Pacific. Slightly below-normal temperatures (~−1°C) are observed east of the dateline, consistent with a fading La Niña pattern. A small cool region is seen near Tonga. Temperatures are near normal elsewhere across the basin."
81,https://drive.google.com/file/d/1YOeAcgyDSAWlWixRRalxmtRgB9GjakJK/view?usp=drive_link,"Warm anomalies spread along the equator towards the central Pacific, especially near the South American coast, associated with developing El Niño SST patterns. A small cooler region south of the Cook Islands remains but transitions toward normal by June."
82,https://drive.google.com/file/d/1mZEPwxuOE1fuI3A1YpwzTOTyoAt9eEm9/view?usp=drive_link,"Positive temperature anomalies (+1°C to +3°C) expand westward along the equator, reaching western Kiribati. This reflects the strengthening El Niño. Off-equatorial areas mostly remain near normal."
83,https://drive.google.com/file/d/1f3oSexFgyE1uDMgc7vzrW63qGb_s5GkF/view?usp=drive_link,"El Niño persists. Temperature anomalies of up to +2°C are observed across much of Kiribati. Meanwhile, cooler-than-normal temperatures (up to −1°C) emerge in off-equatorial areas east of the dateline, including Tonga, Niue, and parts of French Polynesia."
84,https://drive.google.com/file/d/1UgtYOcYqvrJNcq9HKs0Cp4i6nsHDFq30/view?usp=drive_link,"Minimum temperature anomalies (°C) for Australia, averaged over 2023, relative to a 1991–2020 base period. (Source: Australian Bureau of Meteorology.)"
85,https://drive.google.com/file/d/1WO_oT7YWX6y-mUckbZnZ7AtMA-Egt9ey/view?usp=drive_link,"Annual average temperature anomaly (°C) for New Zealand in 2023, relative to the 1991–2020 base period. The black dots represent the locations of climate stations used to create the map. (Source: NIWA, New Zealand.)"
86,https://drive.google.com/file/d/1LVPmNfknWQ_DT5kncKr_6pM8S7UiFaqC/view?usp=drive_link,"Maximum temperature anomalies (°C) for Australia, averaged over 2023, relative to a 1991–2020 base period. (Source: Australian Bureau of Meteorology.)"
87,https://drive.google.com/file/d/1BzihKZSrIsYNxjL5avn8mFk6V0GCkXea/view?usp=drive_link,"Arctic temperature trends showing an annual surface temperature change rates across the Northern Hemisphere from 1961–1990 (Stewart et al., 1998), and temperature anomalies (55–85°N) from 1900–2002, highlighting that the high temperatures of the late 1980s–1990s were similar to those in the 1930s–1940s."
